Title,Vessels,Cranes,Generations,Crossover,Mutation,BestDelay,TimeMS
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.35,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.35,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.35,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.35,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.35,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.35,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.35,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.35,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.35,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.35,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.40,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.40,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.40,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.40,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.40,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.40,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.40,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.40,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.40,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.40,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.45,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.45,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.45,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.45,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.45,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.45,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.45,5,3
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.45,0,4
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.45,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.45,0,2
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.50,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.50,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.50,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.50,6,4
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.50,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.50,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.50,0,1
