Title,Vessels,Cranes,Generations,Crossover,Mutation,BestDelay,TimeMS
"Situation 1",50,10,30,0.00,0.00,2697,23
"Situation 1",50,10,30,0.00,0.02,3095,16
"Situation 1",50,10,30,0.00,0.04,3144,16
"Situation 1",50,10,30,0.00,0.06,4235,15
"Situation 1",50,10,30,0.00,0.08,3228,16
"Situation 1",50,10,30,0.00,0.10,2904,16
"Situation 1",50,10,30,0.00,0.12,3393,16
"Situation 1",50,10,30,0.00,0.14,3341,16
"Situation 1",50,10,30,0.00,0.16,2830,16
"Situation 1",50,10,30,0.00,0.18,3077,15
"Situation 1",50,10,30,0.00,0.20,3218,15
"Situation 1",50,10,30,0.00,0.22,3001,15
"Situation 1",50,10,30,0.00,0.24,3716,15
"Situation 1",50,10,30,0.00,0.26,3585,16
"Situation 1",50,10,30,0.00,0.28,2906,16
"Situation 1",50,10,30,0.00,0.30,2849,16
"Situation 1",50,10,30,0.00,0.32,2865,15
"Situation 1",50,10,30,0.00,0.34,3823,16
"Situation 1",50,10,30,0.00,0.36,3228,15
"Situation 1",50,10,30,0.00,0.38,3250,16
"Situation 1",50,10,30,0.00,0.40,3097,15
"Situation 1",50,10,30,0.00,0.42,3184,17
"Situation 1",50,10,30,0.00,0.44,2920,16
"Situation 1",50,10,30,0.00,0.46,2997,17
"Situation 1",50,10,30,0.00,0.48,3076,16
"Situation 1",50,10,30,0.00,0.50,2844,16
"Situation 1",50,10,30,0.00,0.52,2836,16
"Situation 1",50,10,30,0.00,0.54,3250,16
"Situation 1",50,10,30,0.00,0.56,2786,16
"Situation 1",50,10,30,0.00,0.58,2779,15
"Situation 1",50,10,30,0.00,0.60,2804,17
"Situation 1",50,10,30,0.00,0.62,3074,15
"Situation 1",50,10,30,0.00,0.64,3693,17
"Situation 1",50,10,30,0.00,0.66,3180,16
"Situation 1",50,10,30,0.00,0.68,3498,15
"Situation 1",50,10,30,0.00,0.70,2923,16
"Situation 1",50,10,30,0.00,0.72,2698,17
"Situation 1",50,10,30,0.00,0.74,2865,16
"Situation 1",50,10,30,0.00,0.76,3000,16
"Situation 1",50,10,30,0.00,0.78,3060,24
"Situation 1",50,10,30,0.00,0.80,2658,17
"Situation 1",50,10,30,0.00,0.82,2584,19
"Situation 1",50,10,30,0.00,0.84,2856,15
"Situation 1",50,10,30,0.00,0.86,2901,18
"Situation 1",50,10,30,0.00,0.88,2906,23
"Situation 1",50,10,30,0.00,0.90,2881,15
"Situation 1",50,10,30,0.00,0.92,2786,23
"Situation 1",50,10,30,0.00,0.94,2437,32
"Situation 1",50,10,30,0.00,0.96,2545,23
"Situation 1",50,10,30,0.00,0.98,2724,73
"Situation 1",50,10,30,0.00,0.00,3147,16
"Situation 1",50,10,30,0.00,0.01,2989,16
"Situation 1",50,10,30,0.00,0.02,2829,16
"Situation 1",50,10,30,0.00,0.03,3085,16
"Situation 1",50,10,30,0.00,0.04,3413,15
"Situation 1",50,10,30,0.00,0.05,2759,16
"Situation 1",50,10,30,0.00,0.06,3080,15
"Situation 1",50,10,30,0.00,0.07,3078,15
"Situation 1",50,10,30,0.00,0.08,3702,16
"Situation 1",50,10,30,0.00,0.09,3916,16
"Situation 1",50,10,30,0.00,0.10,3262,16
"Situation 1",50,10,30,0.05,0.00,2848,16
"Situation 1",50,10,30,0.05,0.02,3083,16
"Situation 1",50,10,30,0.05,0.04,2954,17
"Situation 1",50,10,30,0.05,0.06,3102,16
"Situation 1",50,10,30,0.05,0.08,3406,16
"Situation 1",50,10,30,0.05,0.10,3255,16
"Situation 1",50,10,30,0.05,0.12,2858,16
"Situation 1",50,10,30,0.05,0.14,3707,15
"Situation 1",50,10,30,0.05,0.16,3626,16
"Situation 1",50,10,30,0.05,0.18,3106,15
"Situation 1",50,10,30,0.05,0.20,2925,16
"Situation 1",50,10,30,0.05,0.22,2832,15
"Situation 1",50,10,30,0.05,0.24,2948,16
"Situation 1",50,10,30,0.05,0.26,3125,16
"Situation 1",50,10,30,0.05,0.28,3195,16
"Situation 1",50,10,30,0.05,0.30,2959,16
"Situation 1",50,10,30,0.05,0.32,2813,16
"Situation 1",50,10,30,0.05,0.34,2951,16
"Situation 1",50,10,30,0.05,0.36,3659,15
"Situation 1",50,10,30,0.05,0.38,2767,16
"Situation 1",50,10,30,0.05,0.40,2863,15
"Situation 1",50,10,30,0.05,0.42,2823,16
"Situation 1",50,10,30,0.05,0.44,3009,16
"Situation 1",50,10,30,0.05,0.46,2832,17
"Situation 1",50,10,30,0.05,0.48,3427,15
"Situation 1",50,10,30,0.05,0.50,3173,15
"Situation 1",50,10,30,0.05,0.52,3396,16
"Situation 1",50,10,30,0.05,0.54,3408,16
"Situation 1",50,10,30,0.05,0.56,3207,15
"Situation 1",50,10,30,0.05,0.58,3122,18
"Situation 1",50,10,30,0.05,0.60,2784,17
"Situation 1",50,10,30,0.05,0.62,2969,17
"Situation 1",50,10,30,0.05,0.64,2855,15
"Situation 1",50,10,30,0.05,0.66,2932,16
"Situation 1",50,10,30,0.05,0.68,2961,16
"Situation 1",50,10,30,0.05,0.70,3308,15
"Situation 1",50,10,30,0.05,0.72,2831,17
"Situation 1",50,10,30,0.05,0.74,3211,16
"Situation 1",50,10,30,0.05,0.76,2988,16
"Situation 1",50,10,30,0.05,0.78,2601,17
"Situation 1",50,10,30,0.05,0.80,2835,18
"Situation 1",50,10,30,0.05,0.82,4681,15
"Situation 1",50,10,30,0.05,0.84,2755,18
"Situation 1",50,10,30,0.05,0.86,2638,24
"Situation 1",50,10,30,0.05,0.88,2850,17
"Situation 1",50,10,30,0.05,0.90,2718,30
"Situation 1",50,10,30,0.05,0.92,2693,20
"Situation 1",50,10,30,0.05,0.94,2657,17
"Situation 1",50,10,30,0.05,0.96,2624,20
"Situation 1",50,10,30,0.05,0.98,2692,52
