Title,Vessels,Cranes,Generations,Crossover,Mutation,BestDelay,TimeMS
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.00,0,10
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.00,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.00,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.00,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.00,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.00,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.00,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.00,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.00,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.00,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.00,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.00,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.00,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.00,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.00,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.00,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.00,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.00,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.00,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.00,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.01,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.01,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.01,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.01,0,2
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.01,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.01,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.01,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.01,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.01,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.01,7,4
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.01,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.01,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.01,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.01,0,2
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.01,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.01,0,2
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.01,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.01,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.01,5,4
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.01,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.02,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.02,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.02,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.02,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.02,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.02,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.02,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.02,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.02,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.02,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.02,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.02,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.02,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.02,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.02,0,3
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.02,0,2
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.02,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.02,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.02,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.02,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.03,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.03,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.03,0,2
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.03,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.03,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.03,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.03,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.03,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.03,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.03,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,50,0.00,0.03,0,0
