Vessels,Cranes,Generations,Crossover,Mutation,BestDelay,TimeMS
50,10,20,0.00,0.00,2906,26
50,10,20,0.00,0.01,2793,17
50,10,20,0.00,0.02,2992,16
50,10,20,0.00,0.05,2698,15
50,10,20,0.00,0.10,2853,15
50,10,20,0.00,0.20,2505,17
50,10,20,0.00,0.30,2969,15
50,10,20,0.00,0.40,2720,16
50,10,20,0.00,0.50,3088,16
50,10,20,0.00,0.60,2876,17
50,10,20,0.00,0.70,2658,16
50,10,20,0.00,0.80,2887,17
50,10,20,0.00,0.90,2836,14
50,10,20,0.00,1.00,2556,114
50,10,20,0.01,0.00,2773,15
50,10,20,0.01,0.01,2872,16
50,10,20,0.01,0.02,2869,15
50,10,20,0.01,0.05,3166,16
50,10,20,0.01,0.10,3326,15
50,10,20,0.01,0.20,2745,15
50,10,20,0.01,0.30,3068,16
50,10,20,0.01,0.40,2807,15
50,10,20,0.01,0.50,2817,17
50,10,20,0.01,0.60,3043,15
50,10,20,0.01,0.70,3408,16
50,10,20,0.01,0.80,2809,16
50,10,20,0.01,0.90,2782,26
50,10,20,0.01,1.00,2612,109
50,10,20,0.02,0.00,3013,16
50,10,20,0.02,0.01,3005,16
50,10,20,0.02,0.02,2914,16
50,10,20,0.02,0.05,2766,16
50,10,20,0.02,0.10,2871,16
50,10,20,0.02,0.20,3076,17
50,10,20,0.02,0.30,2839,16
50,10,20,0.02,0.40,3050,19
50,10,20,0.02,0.50,2639,18
50,10,20,0.02,0.60,2646,17
50,10,20,0.02,0.70,2817,18
50,10,20,0.02,0.80,2519,21
50,10,20,0.02,0.90,2668,23
50,10,20,0.02,1.00,2674,115
50,10,20,0.05,0.00,2889,17
50,10,20,0.05,0.01,2634,17
50,10,20,0.05,0.02,2959,17
50,10,20,0.05,0.05,2807,17
50,10,20,0.05,0.10,2966,18
50,10,20,0.05,0.20,3255,17
50,10,20,0.05,0.30,3108,18
50,10,20,0.05,0.40,3033,17
50,10,20,0.05,0.50,2827,17
50,10,20,0.05,0.60,2947,17
50,10,20,0.05,0.70,2662,17
50,10,20,0.05,0.80,3159,15
50,10,20,0.05,0.90,2580,19
50,10,20,0.05,1.00,2584,117
50,10,20,0.10,0.00,2918,15
50,10,20,0.10,0.01,3004,16
50,10,20,0.10,0.02,3041,15
50,10,20,0.10,0.05,2715,16
50,10,20,0.10,0.10,3255,15
50,10,20,0.10,0.20,2805,16
50,10,20,0.10,0.30,3100,15
50,10,20,0.10,0.40,2754,17
50,10,20,0.10,0.50,2621,15
50,10,20,0.10,0.60,3034,16
50,10,20,0.10,0.70,2974,15
50,10,20,0.10,0.80,2941,15
50,10,20,0.10,0.90,2724,23
